,Element,Line,Type,Energy
362,Sr,Kb5,Emission Line,15969.0
1619,Pa,"Lb2,15",Emission Line,15990.0
363,Sr,Kb2,Emission Line,16083.4
1427,Po,Lg2,Emission Line,16088.0
1607,Pa,Lb4,Emission Line,16104.0
1670,Np,Lb6,Emission Line,16109.0
1586,Th,Lb1,Emission Line,16202.0
1594,Th,Lb5,Emission Line,16207.5
1432,Po,Lg6,Emission Line,16213.0
1428,Po,Lg3,Emission Line,16234.0
1457,At,Lg1,Emission Line,16252.0
411,Nb,Ka3,Emission Line,16288.0
1689,Pu,Ln,Emission Line,16333.0
1645,U,"Lb2,15",Emission Line,16387.7
1582,Th,Lb3,Emission Line,16426.0
1696,Pu,Lb6,Emission Line,16498.0
412,Nb,Ka2,Emission Line,16521.0
1633,U,Lb4,Emission Line,16575.0
1453,At,Lg2,Emission Line,16607.0
413,Nb,Ka1,Emission Line,16615.0
1620,Pa,Lb5,Emission Line,16639.0
1612,Pa,Lb1,Emission Line,16703.0
378,Y,Kb3,Emission Line,16727.4
379,Y,Kb1,Emission Line,16739.2
1458,At,Lg6,Emission Line,16745.0
1454,At,Lg3,Emission Line,16753.0
1483,Rn,Lg1,Emission Line,16770.0
1671,Np,"Lb2,15",Emission Line,16794.0
1715,Am,Ln,Emission Line,16819.0
380,Y,Kb5,Emission Line,16880.3
1722,Am,Lb6,Emission Line,16890.0
1608,Pa,Lb3,Emission Line,16931.0
381,Y,Kb2,Emission Line,17013.6
1659,Np,Lb4,Emission Line,17061.0
1646,U,Lb5,Emission Line,17063.2
1479,Rn,Lg2,Emission Line,17120.0
429,Mo,Ka3,Emission Line,17134.0
1697,Pu,"Lb2,15",Emission Line,17211.0
1638,U,Lb1,Emission Line,17220.0
1480,Rn,Lg3,Emission Line,17281.0
1748,Cm,Lb6,Emission Line,17286.0
1484,Rn,Lg6,Emission Line,17289.0
1509,Fr,Lg1,Emission Line,17304.0
1741,Cm,Ln,Emission Line,17314.0
430,Mo,Ka2,Emission Line,17375.0
1634,U,Lb3,Emission Line,17454.0
431,Mo,Ka1,Emission Line,17480.0
1672,Np,Lb5,Emission Line,17501.0
1685,Pu,Lb4,Emission Line,17557.0
1723,Am,"Lb2,15",Emission Line,17630.0
396,Zr,Kb3,Emission Line,17654.5
1505,Fr,Lg2,Emission Line,17659.0
397,Zr,Kb1,Emission Line,17668.2
1774,Bk,Lb6,Emission Line,17687.0
1664,Np,Lb1,Emission Line,17751.0
398,Zr,Kb5,Emission Line,17816.9
1767,Bk,Ln,Emission Line,17826.0
1506,Fr,Lg3,Emission Line,17829.0
1535,Ra,Lg1,Emission Line,17848.0
1510,Fr,Lg6,Emission Line,17849.0
1698,Pu,Lb5,Emission Line,17944.0
399,Zr,Kb2,Emission Line,17969.5
1660,Np,Lb3,Emission Line,17992.0
447,Tc,Ka3,Emission Line,18001.0
1749,Cm,"Lb2,15",Emission Line,18054.0
1711,Am,Lb4,Emission Line,18069.0
1800,Cf,Lb6,Emission Line,18094.0
1531,Ra,Lg2,Emission Line,18179.0
448,Tc,Ka2,Emission Line,18251.0
1690,Pu,Lb1,Emission Line,18296.0
1793,Cf,Ln,Emission Line,18347.0
1532,Ra,Lg3,Emission Line,18358.0
449,Tc,Ka1,Emission Line,18367.0
1724,Am,Lb5,Emission Line,18394.0
1561,Ac,Lg1,Emission Line,18408.0
1536,Ra,Lg6,Emission Line,18416.0
1775,Bk,"Lb2,15",Emission Line,18480.0
1686,Pu,Lb3,Emission Line,18541.0
1737,Cm,Lb4,Emission Line,18589.0
414,Nb,Kb3,Emission Line,18609.9
415,Nb,Kb1,Emission Line,18625.4
1557,Ac,Lg2,Emission Line,18760.0
416,Nb,Kb5,Emission Line,18781.0
1750,Cm,Lb5,Emission Line,18846.0
1716,Am,Lb1,Emission Line,18856.0
465,Ru,Ka3,Emission Line,18893.0
1801,Cf,"Lb2,15",Emission Line,18916.0
1558,Ac,Lg3,Emission Line,18950.0
417,Nb,Kb2,Emission Line,18953.4
1587,Th,Lg1,Emission Line,18980.9
1562,Ac,Lg6,Emission Line,19003.0
1712,Am,Lb3,Emission Line,19110.0
1763,Bk,Lb4,Emission Line,19118.0
466,Ru,Ka2,Emission Line,19150.0
467,Ru,Ka1,Emission Line,19279.0
1583,Th,Lg2,Emission Line,19304.0
1776,Bk,Lb5,Emission Line,19305.0
1742,Cm,Lb1,Emission Line,19427.0
1584,Th,Lg3,Emission Line,19505.6
1613,Pa,Lg1,Emission Line,19571.0
432,Mo,Kb3,Emission Line,19588.4
1588,Th,Lg6,Emission Line,19600.5
433,Mo,Kb1,Emission Line,19606.0
1789,Cf,Lb4,Emission Line,19665.0
1738,Cm,Lb3,Emission Line,19688.0
434,Mo,Kb5,Emission Line,19768.9
1802,Cf,Lb5,Emission Line,19770.0
483,Rh,Ka3,Emission Line,19808.0
1609,Pa,Lg2,Emission Line,19881.0
435,Mo,Kb2,Emission Line,19962.4
1768,Bk,Lb1,Emission Line,20018.0
484,Rh,Ka2,Emission Line,20074.0
1610,Pa,Lg3,Emission Line,20098.0
1639,U,Lg1,Emission Line,20169.7
485,Rh,Ka1,Emission Line,20216.0
1614,Pa,Lg6,Emission Line,20220.0
1764,Bk,Lb3,Emission Line,20280.0
1635,U,Lg2,Emission Line,20486.0
450,Tc,Kb3,Emission Line,20596.4
1794,Cf,Lb1,Emission Line,20624.0
451,Tc,Kb1,Emission Line,20626.3
1636,U,Lg3,Emission Line,20714.0
505,Pd,Ka3,Emission Line,20746.0
1665,Np,Lg1,Emission Line,20784.0
452,Tc,Kb5,Emission Line,20786.4
1640,U,Lg6,Emission Line,20845.2
1790,Cf,Lb3,Emission Line,20894.0
453,Tc,Kb2,Emission Line,21001.7
506,Pd,Ka2,Emission Line,21020.0
1661,Np,Lg2,Emission Line,21099.0
507,Pd,Ka1,Emission Line,21177.0
1662,Np,Lg3,Emission Line,21342.0
1691,Pu,Lg1,Emission Line,21420.0
1666,Np,Lg6,Emission Line,21491.0
468,Ru,Kb3,Emission Line,21633.7
469,Ru,Kb1,Emission Line,21655.5
527,Ag,Ka3,Emission Line,21708.0
1687,Pu,Lg2,Emission Line,21724.0
470,Ru,Kb5,Emission Line,21832.8
1688,Pu,Lg3,Emission Line,21981.0
528,Ag,Ka2,Emission Line,21990.0
471,Ru,Kb2,Emission Line,22070.7
1717,Am,Lg1,Emission Line,22072.0
1692,Pu,Lg6,Emission Line,22153.0
529,Ag,Ka1,Emission Line,22163.0
1713,Am,Lg2,Emission Line,22370.0
1714,Am,Lg3,Emission Line,22643.0
549,Cd,Ka3,Emission Line,22693.0
486,Rh,Kb3,Emission Line,22698.7
487,Rh,Kb1,Emission Line,22723.5
1743,Cm,Lg1,Emission Line,22735.0
1718,Am,Lg6,Emission Line,22836.0
488,Rh,Kb5,Emission Line,22908.1
550,Cd,Ka2,Emission Line,22984.0
1739,Cm,Lg2,Emission Line,23028.0
489,Rh,Kb2,Emission Line,23169.5
551,Cd,Ka1,Emission Line,23173.0
490,Rh,Kb4,Emission Line,23218.0
1740,Cm,Lg3,Emission Line,23319.0
1769,Bk,Lg1,Emission Line,23416.0
1744,Cm,Lg6,Emission Line,23527.0
1765,Bk,Lg2,Emission Line,23698.0
571,In,Ka3,Emission Line,23702.0
508,Pd,Kb3,Emission Line,23790.1
509,Pd,Kb1,Emission Line,23817.7
572,In,Ka2,Emission Line,24002.0
1766,Bk,Lg3,Emission Line,24007.0
510,Pd,Kb5,Emission Line,24009.5
1795,Cf,Lg1,Emission Line,24117.0
573,In,Ka1,Emission Line,24210.0
1770,Bk,Lg6,Emission Line,24241.0
511,Pd,Kb2,Emission Line,24294.3
512,Pd,Kb4,Emission Line,24348.0
1791,Cf,Lg2,Emission Line,24390.0
1792,Cf,Lg3,Emission Line,24718.0
593,Sn,Ka3,Emission Line,24735.0
530,Ag,Kb3,Emission Line,24910.2
531,Ag,Kb1,Emission Line,24941.0
1796,Cf,Lg6,Emission Line,24971.0
594,Sn,Ka2,Emission Line,25044.0
532,Ag,Kb5,Emission Line,25140.0
595,Sn,Ka1,Emission Line,25271.0
533,Ag,Kb2,Emission Line,25450.3
534,Ag,Kb4,Emission Line,25510.0
615,Sb,Ka3,Emission Line,25793.0
552,Cd,Kb3,Emission Line,26058.4
553,Cd,Kb1,Emission Line,26092.6
616,Sb,Ka2,Emission Line,26111.0
554,Cd,Kb5,Emission Line,26299.1
617,Sb,Ka1,Emission Line,26359.0
555,Cd,Kb2,Emission Line,26647.1
556,Cd,Kb4,Emission Line,26699.3
639,Te,Ka3,Emission Line,26875.0
640,Te,Ka2,Emission Line,27202.0
574,In,Kb3,Emission Line,27236.8
575,In,Kb1,Emission Line,27274.7
641,Te,Ka1,Emission Line,27473.0
576,In,Kb5,Emission Line,27488.6
577,In,Kb2,Emission Line,27866.5
578,In,Kb4,Emission Line,27922.3
663,I,Ka3,Emission Line,27981.0
664,I,Ka2,Emission Line,28317.0
596,Sn,Kb3,Emission Line,28443.5
597,Sn,Kb1,Emission Line,28485.4
665,I,Ka1,Emission Line,28612.0
598,Sn,Kb5,Emission Line,28706.8
687,Xe,Ka3,Emission Line,29108.0
599,Sn,Kb2,Emission Line,29116.4
600,Sn,Kb4,Emission Line,29175.1
688,Xe,Ka2,Emission Line,29454.0
618,Sb,Kb3,Emission Line,29678.3
619,Sb,Kb1,Emission Line,29724.6
689,Xe,Ka1,Emission Line,29775.0
620,Sb,Kb5,Emission Line,29953.5
711,Cs,Ka3,Emission Line,30271.0
621,Sb,Kb2,Emission Line,30395.4
622,Sb,Kb4,Emission Line,30457.7
712,Cs,Ka2,Emission Line,30626.0
642,Te,Kb3,Emission Line,30943.2
713,Cs,Ka1,Emission Line,30973.0
643,Te,Kb1,Emission Line,30993.2
644,Te,Kb5,Emission Line,31230.6
735,Ba,Ka3,Emission Line,31452.0
645,Te,Kb2,Emission Line,31710.7
646,Te,Kb4,Emission Line,31772.1
736,Ba,Ka2,Emission Line,31817.0
737,Ba,Ka1,Emission Line,32194.0
666,I,Kb3,Emission Line,32238.0
667,I,Kb1,Emission Line,32294.0
668,I,Kb5,Emission Line,32538.2
759,La,Ka3,Emission Line,32659.0
760,La,Ka2,Emission Line,33034.0
669,I,Kb2,Emission Line,33046.0
670,I,Kb4,Emission Line,33118.4
761,La,Ka1,Emission Line,33442.0
690,Xe,Kb3,Emission Line,33558.9
691,Xe,Kb1,Emission Line,33620.4
692,Xe,Kb5,Emission Line,33872.0
783,Ce,Ka3,Emission Line,33895.0
784,Ce,Ka2,Emission Line,34279.0
693,Xe,Kb2,Emission Line,34414.3
694,Xe,Kb4,Emission Line,34491.5
785,Ce,Ka1,Emission Line,34720.0
714,Cs,Kb3,Emission Line,34914.0
715,Cs,Kb1,Emission Line,34982.0
807,Pr,Ka3,Emission Line,35156.0
716,Cs,Kb5,Emission Line,35244.5
808,Pr,Ka2,Emission Line,35551.0
717,Cs,Kb2,Emission Line,35812.6
718,Cs,Kb4,Emission Line,35905.2
809,Pr,Ka1,Emission Line,36027.0
738,Ba,Kb3,Emission Line,36304.0
739,Ba,Kb1,Emission Line,36378.0
831,Nd,Ka3,Emission Line,36443.0
740,Ba,Kb5,Emission Line,36645.3
832,Nd,Ka2,Emission Line,36847.0
741,Ba,Kb2,Emission Line,37249.0
742,Ba,Kb4,Emission Line,37348.4
833,Nd,Ka1,Emission Line,37361.0
762,La,Kb3,Emission Line,37716.0
855,Pm,Ka3,Emission Line,37756.0
763,La,Kb1,Emission Line,37797.0
764,La,Kb5,Emission Line,38072.0
856,Pm,Ka2,Emission Line,38171.0
765,La,Kb2,Emission Line,38719.2
857,Pm,Ka1,Emission Line,38725.0
766,La,Kb4,Emission Line,38819.7
879,Sm,Ka3,Emission Line,39097.0
786,Ce,Kb3,Emission Line,39169.0
787,Ce,Kb1,Emission Line,39256.0
880,Sm,Ka2,Emission Line,39522.0
788,Ce,Kb5,Emission Line,39540.6
881,Sm,Ka1,Emission Line,40118.0
789,Ce,Kb2,Emission Line,40219.8
790,Ce,Kb4,Emission Line,40334.0
903,Eu,Ka3,Emission Line,40467.0
810,Pr,Kb3,Emission Line,40654.0
811,Pr,Kb1,Emission Line,40749.0
904,Eu,Ka2,Emission Line,40902.0
812,Pr,Kb5,Emission Line,41042.7
905,Eu,Ka1,Emission Line,41542.0
813,Pr,Kb2,Emission Line,41754.7
927,Gd,Ka3,Emission Line,41863.0
814,Pr,Kb4,Emission Line,41875.9
834,Nd,Kb3,Emission Line,42166.0
835,Nd,Kb1,Emission Line,42272.0
928,Gd,Ka2,Emission Line,42309.0
836,Nd,Kb5,Emission Line,42565.7
929,Gd,Ka1,Emission Line,42996.0
951,Tb,Ka3,Emission Line,43288.0
837,Nd,Kb2,Emission Line,43325.7
838,Nd,Kb4,Emission Line,43448.5
858,Pm,Kb3,Emission Line,43712.6
952,Tb,Ka2,Emission Line,43744.0
859,Pm,Kb1,Emission Line,43827.0
860,Pm,Kb5,Emission Line,44132.0
953,Tb,Ka1,Emission Line,44482.0
975,Dy,Ka3,Emission Line,44743.0
861,Pm,Kb2,Emission Line,44942.0
862,Pm,Kb4,Emission Line,45064.0
976,Dy,Ka2,Emission Line,45208.0
882,Sm,Kb3,Emission Line,45293.0
883,Sm,Kb1,Emission Line,45414.2
884,Sm,Kb5,Emission Line,45723.1
977,Dy,Ka1,Emission Line,45999.0
999,Ho,Ka3,Emission Line,46224.0
885,Sm,Kb2,Emission Line,46568.4
1000,Ho,Ka2,Emission Line,46700.0
886,Sm,Kb4,Emission Line,46705.0
906,Eu,Kb3,Emission Line,46905.0
907,Eu,Kb1,Emission Line,47038.0
908,Eu,Kb5,Emission Line,47360.4
1001,Ho,Ka1,Emission Line,47547.0
1023,Er,Ka3,Emission Line,47735.0
1024,Er,Ka2,Emission Line,48222.0
909,Eu,Kb2,Emission Line,48235.0
910,Eu,Kb4,Emission Line,48386.0
930,Gd,Kb3,Emission Line,48551.0
931,Gd,Kb1,Emission Line,48695.0
932,Gd,Kb5,Emission Line,49017.1
1025,Er,Ka1,Emission Line,49128.0
1047,Tm,Ka3,Emission Line,49274.0
1048,Tm,Ka2,Emission Line,49773.0
933,Gd,Kb2,Emission Line,49953.0
934,Gd,Kb4,Emission Line,50096.4
954,Tb,Kb3,Emission Line,50228.0
955,Tb,Kb1,Emission Line,50385.0
956,Tb,Kb5,Emission Line,50719.1
1049,Tm,Ka1,Emission Line,50742.0
1071,Yb,Ka3,Emission Line,50846.0
1072,Yb,Ka2,Emission Line,51354.0
957,Tb,Kb2,Emission Line,51673.6
958,Tb,Kb4,Emission Line,51845.5
978,Dy,Kb3,Emission Line,51947.0
979,Dy,Kb1,Emission Line,52113.0
1073,Yb,Ka1,Emission Line,52388.0
1095,Lu,Ka3,Emission Line,52444.0
980,Dy,Kb5,Emission Line,52456.0
1096,Lu,Ka2,Emission Line,52965.0
981,Dy,Kb2,Emission Line,53455.5
982,Dy,Kb4,Emission Line,53635.4
1002,Ho,Kb3,Emission Line,53695.0
1003,Ho,Kb1,Emission Line,53877.0
1097,Lu,Ka1,Emission Line,54070.0
1119,Hf,Ka3,Emission Line,54080.0
1004,Ho,Kb5,Emission Line,54226.0
1120,Hf,Ka2,Emission Line,54612.0
1005,Ho,Kb2,Emission Line,55274.5
1006,Ho,Kb4,Emission Line,55458.0
1026,Er,Kb3,Emission Line,55480.0
1027,Er,Kb1,Emission Line,55674.0
1143,Ta,Ka3,Emission Line,55734.0
1121,Hf,Ka1,Emission Line,55790.0
1028,Er,Kb5,Emission Line,56033.0
1144,Ta,Ka2,Emission Line,56280.0
1029,Er,Kb2,Emission Line,57119.8
1050,Tm,Kb3,Emission Line,57300.0
1030,Er,Kb4,Emission Line,57318.4
1167,W,Ka3,Emission Line,57425.0
1051,Tm,Kb1,Emission Line,57505.0
1145,Ta,Ka1,Emission Line,57535.0
1052,Tm,Kb5,Emission Line,57875.0
1168,W,Ka2,Emission Line,57981.0
1053,Tm,Kb2,Emission Line,59004.1
1191,Re,Ka3,Emission Line,59149.0
1074,Yb,Kb3,Emission Line,59159.0
1054,Tm,Kb4,Emission Line,59214.5
1169,W,Ka1,Emission Line,59318.0
1075,Yb,Kb1,Emission Line,59382.0
1192,Re,Ka2,Emission Line,59717.0
1076,Yb,Kb5,Emission Line,59756.0
1215,Os,Ka3,Emission Line,60903.0
1077,Yb,Kb2,Emission Line,60943.3
1098,Lu,Kb3,Emission Line,61050.0
1078,Yb,Kb4,Emission Line,61140.8
1193,Re,Ka1,Emission Line,61141.0
1099,Lu,Kb1,Emission Line,61290.0
1216,Os,Ka2,Emission Line,61486.0
1100,Lu,Kb5,Emission Line,61675.0
1239,Ir,Ka3,Emission Line,62692.0
1101,Lu,Kb2,Emission Line,62901.6
1122,Hf,Kb3,Emission Line,62986.0
1217,Os,Ka1,Emission Line,63000.0
1102,Lu,Kb4,Emission Line,63107.9
1123,Hf,Kb1,Emission Line,63244.0
1240,Ir,Ka2,Emission Line,63287.0
1124,Hf,Kb5,Emission Line,63635.0
1263,Pt,Ka3,Emission Line,64515.0
1241,Ir,Ka1,Emission Line,64896.0
1125,Hf,Kb2,Emission Line,64912.8
1146,Ta,Kb3,Emission Line,64947.0
1264,Pt,Ka2,Emission Line,65122.0
1126,Hf,Kb4,Emission Line,65131.0
1147,Ta,Kb1,Emission Line,65222.0
1148,Ta,Kb5,Emission Line,65623.0
1287,Au,Ka3,Emission Line,66372.0
1265,Pt,Ka1,Emission Line,66831.0
1170,W,Kb3,Emission Line,66950.0
1149,Ta,Kb2,Emission Line,66952.6
1288,Au,Ka2,Emission Line,66991.0
1150,Ta,Kb4,Emission Line,67178.1
1171,W,Kb1,Emission Line,67244.0
1172,W,Kb5,Emission Line,67653.0
1313,Hg,Ka3,Emission Line,68263.0
1289,Au,Ka1,Emission Line,68806.0
1314,Hg,Ka2,Emission Line,68893.0
1194,Re,Kb3,Emission Line,68994.0
1173,W,Kb2,Emission Line,69034.6
1174,W,Kb4,Emission Line,69269.1
1195,Re,Kb1,Emission Line,69309.0
1196,Re,Kb5,Emission Line,69727.0
1339,Tl,Ka3,Emission Line,70183.0
1315,Hg,Ka1,Emission Line,70818.0
1340,Tl,Ka2,Emission Line,70832.0
1218,Os,Kb3,Emission Line,71079.0
1197,Re,Kb2,Emission Line,71157.3
1198,Re,Kb4,Emission Line,71402.1
1219,Os,Kb1,Emission Line,71414.0
1220,Os,Kb5,Emission Line,71840.0
1365,Pb,Ka3,Emission Line,72144.0
1366,Pb,Ka2,Emission Line,72805.0
1341,Tl,Ka1,Emission Line,72872.0
1242,Ir,Kb3,Emission Line,73202.0
1221,Os,Kb2,Emission Line,73321.9
1243,Ir,Kb1,Emission Line,73560.0
1222,Os,Kb4,Emission Line,73577.9
1244,Ir,Kb5,Emission Line,73995.0
1391,Bi,Ka3,Emission Line,74138.0
1392,Bi,Ka2,Emission Line,74815.0
1367,Pb,Ka1,Emission Line,74970.0
1266,Pt,Kb3,Emission Line,75368.0
1245,Ir,Kb2,Emission Line,75533.2
1267,Pt,Kb1,Emission Line,75750.0
1246,Ir,Kb4,Emission Line,75799.1
1417,Po,Ka3,Emission Line,76166.0
1268,Pt,Kb5,Emission Line,76193.0
1418,Po,Ka2,Emission Line,76861.0
1393,Bi,Ka1,Emission Line,77107.0
1290,Au,Kb3,Emission Line,77577.0
1269,Pt,Kb2,Emission Line,77785.9
1291,Au,Kb1,Emission Line,77982.0
1270,Pt,Kb4,Emission Line,78063.4
1443,At,Ka3,Emission Line,78237.0
1292,Au,Kb5,Emission Line,78434.0
1444,At,Ka2,Emission Line,78945.0
1419,Po,Ka1,Emission Line,79291.0
1316,Hg,Kb3,Emission Line,79823.0
1293,Au,Kb2,Emission Line,80082.3
1317,Hg,Kb1,Emission Line,80255.0
1469,Rn,Ka3,Emission Line,80355.0
1294,Au,Kb4,Emission Line,80371.8
1318,Hg,Kb5,Emission Line,80717.0
1470,Rn,Ka2,Emission Line,81067.0
1445,At,Ka1,Emission Line,81516.0
1342,Tl,Kb3,Emission Line,82114.0
1319,Hg,Kb2,Emission Line,82421.8
1495,Fr,Ka3,Emission Line,82498.0
1343,Tl,Kb1,Emission Line,82573.0
1320,Hg,Kb4,Emission Line,82723.8
1344,Tl,Kb5,Emission Line,83045.0
1496,Fr,Ka2,Emission Line,83230.0
1471,Rn,Ka1,Emission Line,83785.0
1368,Pb,Kb3,Emission Line,84451.0
1521,Ra,Ka3,Emission Line,84685.0
1345,Tl,Kb2,Emission Line,84809.5
1369,Pb,Kb1,Emission Line,84939.0
1346,Tl,Kb4,Emission Line,85124.3
1370,Pb,Kb5,Emission Line,85419.0
1522,Ra,Ka2,Emission Line,85438.0
1497,Fr,Ka1,Emission Line,86106.0
1394,Bi,Kb3,Emission Line,86830.0
1547,Ac,Ka3,Emission Line,86915.0
1371,Pb,Kb2,Emission Line,87243.1
1395,Bi,Kb1,Emission Line,87349.0
1372,Pb,Kb4,Emission Line,87570.7
1548,Ac,Ka2,Emission Line,87672.0
1396,Bi,Kb5,Emission Line,87838.0
1523,Ra,Ka1,Emission Line,88478.0
1573,Th,Ka3,Emission Line,89179.0
1420,Po,Kb3,Emission Line,89251.0
1397,Bi,Kb2,Emission Line,89720.8
1421,Po,Kb1,Emission Line,89803.0
1574,Th,Ka2,Emission Line,89958.0
1398,Bi,Kb4,Emission Line,90062.0
1422,Po,Kb5,Emission Line,90307.0
1549,Ac,Ka1,Emission Line,90884.0
1599,Pa,Ka3,Emission Line,91496.0
1446,At,Kb3,Emission Line,91722.0
1423,Po,Kb2,Emission Line,92254.0
1600,Pa,Ka2,Emission Line,92287.0
1447,At,Kb1,Emission Line,92304.0
1424,Po,Kb4,Emission Line,92605.0
1448,At,Kb5,Emission Line,92821.0
1575,Th,Ka1,Emission Line,93351.0
1625,U,Ka3,Emission Line,93849.0
1472,Rn,Kb3,Emission Line,94245.0
1626,U,Ka2,Emission Line,94658.0
1449,At,Kb2,Emission Line,94844.0
1473,Rn,Kb1,Emission Line,94866.0
1450,At,Kb4,Emission Line,95197.0
1474,Rn,Kb5,Emission Line,95382.0
1601,Pa,Ka1,Emission Line,95868.0
1651,Np,Ka3,Emission Line,96242.0
1498,Fr,Kb3,Emission Line,96810.0
1652,Np,Ka2,Emission Line,97069.0
1499,Fr,Kb1,Emission Line,97474.0
1475,Rn,Kb2,Emission Line,97475.0
1476,Rn,Kb4,Emission Line,97837.0
1500,Fr,Kb5,Emission Line,98001.0
1627,U,Ka1,Emission Line,98440.0
1677,Pu,Ka3,Emission Line,98687.0
1524,Ra,Kb3,Emission Line,99432.0
1678,Pu,Ka2,Emission Line,99525.0
1525,Ra,Kb1,Emission Line,100130.0
1501,Fr,Kb2,Emission Line,100157.0
1502,Fr,Kb4,Emission Line,100534.0
1526,Ra,Kb5,Emission Line,100674.0
1653,Np,Ka1,Emission Line,101059.0
1703,Am,Ka3,Emission Line,101174.0
1704,Am,Ka2,Emission Line,102030.0
1550,Ac,Kb3,Emission Line,102099.0
1551,Ac,Kb1,Emission Line,102846.0
1527,Ra,Kb2,Emission Line,102864.0
1528,Ra,Kb4,Emission Line,103286.0
1552,Ac,Kb5,Emission Line,103385.0
1729,Cm,Ka3,Emission Line,103715.0
1679,Pu,Ka1,Emission Line,103734.0
1730,Cm,Ka2,Emission Line,104590.0
1576,Th,Kb3,Emission Line,104821.0
1577,Th,Kb1,Emission Line,105605.0
1553,Ac,Kb2,Emission Line,105675.0
1554,Ac,Kb4,Emission Line,106080.0
1578,Th,Kb5,Emission Line,106160.0
1755,Bk,Ka3,Emission Line,106300.0
1705,Am,Ka1,Emission Line,106472.0
1756,Bk,Ka2,Emission Line,107185.0
1602,Pa,Kb3,Emission Line,107600.0
1603,Pa,Kb1,Emission Line,108427.0
1579,Th,Kb2,Emission Line,108483.0
1781,Cf,Ka3,Emission Line,108929.0
1580,Th,Kb4,Emission Line,108939.0
1604,Pa,Kb5,Emission Line,108990.0
1731,Cm,Ka1,Emission Line,109271.0
1782,Cf,Ka2,Emission Line,109831.0
1628,U,Kb3,Emission Line,110424.0
1629,U,Kb1,Emission Line,111303.0
1605,Pa,Kb2,Emission Line,111377.0
1606,Pa,Kb4,Emission Line,111858.0
1630,U,Kb5,Emission Line,111878.0
1757,Bk,Ka1,Emission Line,112121.0
1654,Np,Kb3,Emission Line,113303.0
1655,Np,Kb1,Emission Line,114234.0
1631,U,Kb2,Emission Line,114335.0
1656,Np,Kb5,Emission Line,114820.0
1632,U,Kb4,Emission Line,114828.0
1783,Cf,Ka1,Emission Line,115032.0
1680,Pu,Kb3,Emission Line,116244.0
1681,Pu,Kb1,Emission Line,117228.0
1657,Np,Kb2,Emission Line,117341.0
1682,Pu,Kb5,Emission Line,117821.0
1658,Np,Kb4,Emission Line,117853.0
1706,Am,Kb3,Emission Line,119243.0
1707,Am,Kb1,Emission Line,120284.0
1683,Pu,Kb2,Emission Line,120411.0
1708,Am,Kb5,Emission Line,120886.0
1684,Pu,Kb4,Emission Line,120945.0
1732,Cm,Kb3,Emission Line,122304.0
1733,Cm,Kb1,Emission Line,123403.0
1709,Am,Kb2,Emission Line,123544.0
1734,Cm,Kb5,Emission Line,124017.0
1710,Am,Kb4,Emission Line,124102.0
1758,Bk,Kb3,Emission Line,125418.0
1759,Bk,Kb1,Emission Line,126580.0
1735,Cm,Kb2,Emission Line,126743.0
1760,Bk,Kb5,Emission Line,127203.0
1736,Cm,Kb4,Emission Line,127325.0
1784,Cf,Kb3,Emission Line,128594.0
1785,Cf,Kb1,Emission Line,129823.0
1761,Bk,Kb2,Emission Line,129998.0
1786,Cf,Kb5,Emission Line,130455.0
1762,Bk,Kb4,Emission Line,130601.0
1787,Cf,Kb2,Emission Line,133319.0
1788,Cf,Kb4,Emission Line,133948.0
